x,y,z
-3.0618908032024983,514.9417874571799,a
25.760591964893827,476.55178969576747,a
-2.5916232895025075,479.39223498490395,a
39.955957731624295,455.1360049253942,a
48.39241578588124,453.48457349663175,a
-13.778657138572996,415.1249564884571,a
53.16276487150202,476.63289189531685,a
13.95529139417916,396.34915008704115,a
11.636176475278582,416.7620828705042,a
52.51115329034349,400.7192677694012,a
22.371719956005418,365.9600805277588,a
30.369212362908996,346.85035584202126,a
9.059588819361295,379.13630262473293,a
27.836713809737855,376.1179939951235,a
62.01547248951956,359.037218920776,a
20.48066444552784,381.345222806652,a
17.211749915697002,369.0481266025623,a
74.39394913411834,305.3850377255393,a
9.379515067631248,370.72247633567883,a
24.552764639783206,320.1042519167737,a
11.378730511284852,329.5138182480606,a
-0.2643409714769547,345.8819822594054,a
1.5743946739086034,326.46575350282217,a
40.24175350661572,347.64519520409794,a
27.55850808118334,300.29418065785615,a
20.68308008993481,328.95107931910445,a
32.48736670269763,331.7227947604542,a
35.49623546766948,375.09990825689977,a
38.11064236367877,334.8136426147282,a
11.78762545913596,314.0729749973482,a
19.663604115196183,334.5434550593569,a
90.60136063065113,347.5722145787226,a
19.722018981476854,329.62270874875975,a
-1.1202833581131912,351.89449041988246,a
33.792667793149946,277.05139454680227,a
51.95244885656342,319.8027706402885,a
52.06718369568144,332.7875367018013,a
75.14416866393077,318.9673819720083,a
98.71807083408451,330.1161107372582,a
71.81326362129509,299.97855937232555,a
91.46214485294007,311.09987420980195,a
118.94430821556168,311.14131489405185,a
95.11161837464383,341.8422383470239,a
134.25790706206442,318.33761304157883,a
150.79040229750152,333.0291112621163,a
183.43883078052286,302.26145962926444,a
187.61244262806292,290.6187264759158,a
163.8733581616769,347.4205437308082,a
140.5158155599822,299.3743189080398,a
183.55651920516408,281.87465291860946,a
218.88522055172456,285.783095209635,a
209.83056863546807,301.1061067228784,a
219.90459279305065,291.30158921488743,a
249.55495753746675,303.81628452843086,a
241.10815116426664,325.6122620104238,a
303.97798363897954,331.91270639309386,a
278.8584408481382,319.2516865398586,a
256.8057670181669,314.3104303033275,a
263.1573566402989,277.2691610262838,a
252.0319240121346,291.2139509239975,a
314.1337387414193,313.8022193485975,a
323.3300712727669,294.3909748757558,a
322.64037395273397,251.61440763701333,a
327.6654643223974,309.72229922437566,a
318.5761502833365,283.5295007881126,a
351.3848256272226,320.00828485842123,a
348.4720475217439,330.3356634057027,a
302.1277032096178,322.90711714004334,a
324.92050241654033,337.63233977609525,a
337.4701337487648,312.4619963958588,a
362.6607857627648,293.29972706748424,a
311.8874676377536,293.9769078680226,a
322.31189915918054,283.43996284961634,a
343.6278131559992,336.4063275814538,a
357.97585333552644,359.62787882954535,a
331.1086176808527,351.13307658154173,a
352.8786781006843,301.01518802596024,a
365.0142428201524,333.3964813698957,a
387.05057436899017,343.2065895100253,a
307.93379674203635,283.49543449453995,a
344.70834340845516,285.99491973746143,a
337.03919798792833,325.5782993124766,a
332.8761726772829,373.52837554073267,a
338.88439031908894,367.69460750349424,a
376.0723846059527,466.0095337251331,a
350.5708985476836,358.35179661725726,a
342.9498896311576,417.68474841091546,a
380.5276447366071,451.6226610746059,a
373.919150290291,443.40496969184863,a
