x,y,z
159.82916953259064,451.2072178216584,a
213.11076349281856,442.2399425983057,a
128.88132833311673,441.58632699578203,a
172.67960691189631,406.2552503821316,a
219.658388836603,424.2313175745885,a
238.1494932698053,399.26194664785334,a
275.49437761062956,394.9725433592514,a
295.02107037844235,344.3464887917688,a
276.3998145752931,399.7407859260487,a
325.74499601257577,357.0652304783061,a
339.02033022931664,348.07608054261163,a
289.3765865105001,335.21240842504733,a
294.2351501303778,351.2046001499467,a
321.71876378113444,306.5119284789737,a
347.4157277141266,332.8941446231207,a
379.5802724811367,279.0512908312486,a
343.32264123051095,312.7070855703589,a
403.1257544267468,317.80903551842795,a
426.52812016033823,350.0197905796996,a
451.1523878473783,295.59958539959473,a
393.5616843645972,284.3689811239101,a
406.9365996816243,335.58230085376965,a
428.9960869913425,292.78574373874545,a
405.9052520711336,283.36005242425995,a
472.7909005130796,255.46107063692372,a
497.7564328047967,251.06681532886523,a
460.4946914663237,221.03211180726822,a
499.4158134639588,218.09557996190756,a
505.41222112861647,250.1213667245836,a
533.7558821098511,204.64043235621824,a
535.193244792547,239.32037641290265,a
556.6328982925287,142.9955082151095,a
609.8403716747723,161.73209150674643,a
600.241515434671,186.40719403860987,a
636.7228958670457,174.65475698432914,a
623.3824113097254,147.1717487820601,a
626.2560347870398,168.70956075180965,a
617.6270387922164,163.954038138565,a
612.4874776861185,178.15169520478264,a
608.3066097534618,185.45412425229574,a
603.7273002555154,190.93457343222082,a
605.1153931224999,173.8632367046771,a
589.8119744407925,189.02713431737772,a
534.7864965818725,237.3159158730512,a
553.9119135358319,260.08225613176836,a
484.8690122565337,236.7363407605887,a
490.4052197155414,231.45113240009135,a
483.5708903288834,288.7312133956623,a
417.32173851507537,315.5438837575024,a
417.79008781895266,336.984927096805,a
420.9044412815961,315.055111595147,a
354.77699407506014,313.87503320715444,a
364.94386105199374,349.6182053483319,a
349.5663823824244,320.3142535998386,a
383.45529346160527,374.98271015885047,a
309.0363032262727,397.50811929576355,a
331.44750632427883,355.8965159307079,a
299.8637598923918,386.376314717781,a
280.8074682609262,436.1664768833825,a
237.62698826749553,428.96460088985816,a
238.28698560134822,429.70246621184424,a
207.24440933025744,441.51304950597506,a
216.6073582568255,421.3843504352718,a
